Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Learning_Rate,Epoch_Time_s,Cumulative_Time_s
1,2.8868913881240355,0.033085752578992995,34.682286119985804,2.829315841534717,0.0,5e-05,59.9043653011322,59.9043653011322
2,0.9475198436167932,0.14893228055969362,62.97479588214412,1.690444149287407,0.12,4.995066821070679e-05,56.50945854187012,116.41382384300232
3,0.14541396366492396,0.26203571019634125,70.74902378416755,1.311154077113685,0.24,4.980286753286195e-05,57.60268259048462,174.01650643348694
4,0.0548275479626271,0.2329854215345075,71.99148029818956,1.1843588975821175,0.36,4.955718126821722e-05,57.44791865348816,231.4644250869751
5,0.02971810407395805,0.18180545575676427,72.87894923677672,1.1217884460443073,0.48,4.9214579028215776e-05,57.414153814315796,288.8785789012909
6,0.020613285863111095,0.17753468513969453,72.77245296414625,1.1693344419101244,0.6,4.877641290737884e-05,57.36440587043762,346.2429847717285
7,0.01405326128306408,0.14358739891359884,71.06851260205893,1.256549141314512,0.6447213595499958,4.8244412147206284e-05,57.98914170265198,404.2321264743805
8,0.016362340268378538,0.13752659626545444,70.82002129925452,1.2468224706543916,0.6632455532033675,4.762067631165049e-05,58.396430253982544,462.62855672836304
9,0.013014851626189004,0.13959599791034574,71.17500887468938,1.3420266981070892,0.6774596669241483,4.6907667001096584e-05,58.42342758178711,521.0519843101501
10,0.022824084232260865,0.1746116618235265,71.21050763223288,1.3748607557414279,0.6894427190999916,4.610819813755037e-05,58.02414917945862,579.0761334896088
11,0.01262841329369093,0.10934189887296769,73.02094426695065,1.2671313780382285,0.7,4.5225424859373677e-05,57.84578728675842,636.9219207763672
12,0.008745922399083934,0.1064155880481966,73.44692935747248,1.1813327816561967,0.7095445115010333,4.426283106939472e-05,57.52212381362915,694.4440445899963
13,0.006475961984946362,0.11054403256745107,73.02094426695065,1.271475917964057,0.7183215956619924,4.322421568553528e-05,57.99927735328674,752.4433219432831
14,0.006342529706026037,0.102774242479955,73.62442314518992,1.2606328433436422,0.7264911064067352,4.211367764821721e-05,57.381630420684814,809.8249523639679
15,0.013166007736036855,0.10309164319187403,75.57685481008164,1.2647763350935741,0.7341640786499873,4.0935599743717234e-05,57.84876799583435,867.6737203598022
16,0.011485977436325723,0.07328282506956209,74.86687965921193,1.2553884937058961,0.7414213562373095,3.969463130731183e-05,59.446272134780884,927.1199924945831
17,0.0046619203827914695,0.11060212910055153,76.42882499112531,1.1519417754005468,0.7483239697419133,3.839566987447491e-05,59.99688458442688,987.11687707901
18,0.00595770362246361,0.06347369236661302,77.81327653532126,1.0827827844515543,0.7549193338482967,3.7043841852542874e-05,59.94328951835632,1047.0601665973663
19,0.005563646504249904,0.10522720109551184,76.81931132410365,1.1730664726613105,0.761245154965971,3.564448228912681e-05,58.28527617454529,1105.3454427719116
20,0.00462709594097349,0.09001035041986935,76.99680511182109,1.1184542457887832,0.7673320053068151,3.420311381711694e-05,58.54050898551941,1163.885951757431
21,0.004955564916599542,0.06730363403837528,75.61235356762514,1.2655757249543105,0.7732050807568878,3.272542485937368e-05,57.95057249069214,1221.8365242481232
22,0.004046116071197415,0.06350901554669103,76.53532126375576,1.131687988568884,0.7788854381999832,3.121724717912136e-05,57.78177738189697,1279.6183016300201
23,0.004547339847176185,0.04631892810275237,77.4582889598864,1.2020514736247663,0.7843908891458578,2.9684532864643112e-05,57.580814838409424,1337.1991164684296
24,0.0029967906265219134,0.07563965450671892,76.07383741569045,1.2282748354133877,0.7897366596101028,2.8133330839107605e-05,58.428704023361206,1395.6278204917908
25,0.002488776110112667,0.046827565728416363,76.4643237486688,1.247655437021098,0.7949358868961793,2.6569762988232828e-05,58.33240604400635,1453.9602265357971
26,0.0037359347014928298,0.03672927084769453,76.53532126375576,1.2292505173827522,0.8,2.499999999999999e-05,59.24109482765198,1513.201321363449
27,0.0017922307710133254,0.023350732551226692,76.25133120340789,1.184231849878929,0.804939015319192,2.3430237011767157e-05,57.9665322303772,1571.1678535938263
28,0.0025905313912869222,0.0452950210686052,75.89634362797302,1.2511295958801625,0.8097617696340302,2.1866669160892387e-05,57.75097894668579,1628.918832540512
29,0.0022083281937445845,0.024154486074562994,76.2158324458644,1.2343788590880063,0.8144761058952722,2.0315467135356877e-05,58.18638467788696,1687.105217218399
30,0.0020840299933502873,0.02892225442994987,76.39332623358183,1.264420992823378,0.8190890230020664,1.878275282087862e-05,57.77388048171997,1744.879097700119
31,0.002050863782642409,0.03427217806869697,76.18033368832091,1.2856646355640768,0.823606797749979,1.7274575140626315e-05,57.933470726013184,1802.8125684261322
32,0.0014772399815903496,0.035942365896076925,76.39332623358183,1.277028508413495,0.8280350850198276,1.5796886182883053e-05,57.60085391998291,1860.413422346115
33,0.0014115007830813766,0.030387532604377595,76.00283990060348,1.3376979111591196,0.832379000772445,1.4355517710873178e-05,58.16927623748779,1918.582698583603
34,0.0008902880701146299,0.026036900836193273,75.61235356762514,1.3646347802310772,0.8366431913239847,1.295615814745711e-05,57.98924016952515,1976.571938753128
35,0.0011908202704357645,0.020590722204125937,75.54135605253816,1.3577571623257525,0.8408318915758459,1.1604330125525074e-05,58.69511795043945,2035.2670567035675
36,0.0011451729486936764,0.028262894026063863,75.75434859779908,1.304848051458626,0.8449489742783178,1.030536869268817e-05,59.00658440589905,2094.2736411094666
37,0.0010842650625554303,0.016312359355299944,76.49982250621228,1.262920519867422,0.8489979919597747,9.064400256282752e-06,58.58811569213867,2152.861756801605
38,0.0024693589911030066,0.01661982741056671,76.39332623358183,1.2540067924125091,0.8529822128134703,7.886322351782778e-06,57.98492097854614,2210.8466777801514
39,0.0009154885314450028,0.029883346595470945,76.49982250621228,1.246812318559321,0.8569046515733025,6.775784314464713e-06,57.804306507110596,2268.650984287262
40,0.000823140813736245,0.016240237551110405,76.4643237486688,1.235516705603035,0.8607680962081059,5.737168930605268e-06,57.9278404712677,2326.5788247585297
41,0.0035457884763262326,0.012377380055465525,76.32232871849486,1.2444710269215844,0.8645751311064591,4.774575140626313e-06,57.7038140296936,2384.2826387882233
42,0.0011192106129226064,0.010800611781662391,76.64181753638623,1.2391651502257446,0.8683281572999748,3.891801862449626e-06,58.3765823841095,2442.6592211723328
43,0.0007898604747043141,0.008313679294059835,76.53532126375576,1.240477259939495,0.8720294101747089,3.0923329989034086e-06,58.56374144554138,2501.222962617874
44,0.0007789859509718935,0.012917274999762736,76.57082002129926,1.2431261754510228,0.8756809750418044,2.379323688349515e-06,58.36198687553406,2559.584949493408
45,0.0010543117870486552,0.010545773649468057,76.4643237486688,1.2439920538888407,0.8792848008753789,1.7555878527937151e-06,57.97590160369873,2617.560851097107
46,0.0007693172120789607,0.03067951614127284,76.49982250621228,1.2408355052035702,0.882842712474619,1.2235870926211608e-06,58.07988500595093,2675.640736103058
47,0.0012125488795009592,0.014869329579655201,76.53532126375576,1.2380228121468986,0.886356421265527,7.854209717842252e-07,58.71255326271057,2734.3532893657684
48,0.0012075750484889854,0.00931174329842531,76.53532126375576,1.2366949661566131,0.8898275349237887,4.428187317827816e-07,57.77763032913208,2792.1309196949005
49,0.0008163628048233447,0.010114906137929328,76.53532126375576,1.2368774877453852,0.8932575659723037,1.971324671380557e-07,58.18216061592102,2850.3130803108215
50,0.0024258252594717626,0.010784738456770297,76.53532126375576,1.2369795443267675,0.8966479394838265,4.9331789293210987e-08,57.42606592178345,2907.739146232605
