Epoch,Train_CLS_Loss,Train_SAC_Loss,Test_Accuracy,Test_Loss,Conf_Threshold,Learning_Rate,Epoch_Time_s,Cumulative_Time_s
1,2.8868913881240355,0.04545869828472214,62.64150943396226,2.1516779685020446,0.0,5e-05,51.98336172103882,51.98336172103882
2,0.9694020776979385,0.1786913552111195,93.33333333333333,0.513539442177862,0.12,4.995066821070679e-05,50.79845857620239,102.78182029724121
3,0.16330691619265464,0.18013518736247094,96.1006289308176,0.17134657566435635,0.24,4.980286753286195e-05,51.76360869407654,154.54542899131775
4,0.04154147646359859,0.09345063356862914,99.24528301886792,0.055691225697519255,0.36,4.955718126821722e-05,52.16728591918945,206.7127149105072
5,0.01966148293426921,0.047168172655567046,98.61635220125787,0.08358985234459397,0.48,4.9214579028215776e-05,51.958083629608154,258.67079854011536
6,0.006666340467129503,0.04064046286587273,98.99371069182389,0.045688066731963774,0.6,4.877641290737884e-05,52.307167291641235,310.9779658317566
7,0.00659115657570862,0.02139625912381997,98.86792452830188,0.06697243674803759,0.6447213595499958,4.8244412147206284e-05,52.007458209991455,362.98542404174805
8,0.005888073620641784,0.022104180928680203,98.99371069182389,0.0793447434862901,0.6632455532033675,4.762067631165049e-05,51.97298574447632,414.95840978622437
9,0.005871743381571685,0.015266328426678815,97.48427672955975,0.15577552945760545,0.6774596669241483,4.6907667001096584e-05,51.97412180900574,466.9325315952301
10,0.010740658070238667,0.020754872558398113,98.36477987421384,0.10037378600696684,0.6894427190999916,4.610819813755037e-05,51.80171203613281,518.7342436313629
11,0.00247488610987221,0.022290121482294655,97.35849056603773,0.10008699585057912,0.7,4.5225424859373677e-05,51.929102659225464,570.6633462905884
12,0.009253340849329928,0.015857369485010785,97.86163522012579,0.08103573481123022,0.7095445115010333,4.426283106939472e-05,51.970552921295166,622.6338992118835
13,0.0031405208301880667,0.014464048266921553,98.86792452830188,0.03414237998171302,0.7183215956619924,4.322421568553528e-05,51.94236373901367,674.5762629508972
14,0.0017099557942034857,0.017648552968767623,98.74213836477988,0.0936876945829863,0.7264911064067352,4.211367764821721e-05,51.605902910232544,726.1821658611298
15,0.0013740680691215299,0.009211213335454944,98.86792452830188,0.0821592619286821,0.7341640786499873,4.0935599743717234e-05,51.591453552246094,777.7736194133759
16,0.0017818490253581154,0.010608009460772718,98.49056603773585,0.0809063757929107,0.7414213562373095,3.969463130731183e-05,51.81808376312256,829.5917031764984
17,0.0010299397183717379,0.005417810698535534,99.11949685534591,0.06599541247669549,0.7483239697419133,3.839566987447491e-05,51.37703990936279,880.9687430858612
18,0.000723813708792741,0.0017592330001324655,98.86792452830188,0.08525406490032765,0.7549193338482967,3.7043841852542874e-05,51.99042630195618,932.9591693878174
19,0.0005341374621381082,0.003895823654132865,98.61635220125787,0.08391184335476282,0.761245154965971,3.564448228912681e-05,52.160629749298096,985.1197991371155
